country	cluster_size	cumulative_samples
Slovakia	21	10161
Slovakia	22	10271
Slovakia	23	10340
Slovakia	24	10412
Slovakia	25	10512
Slovakia	26	10564
Slovakia	27	10618
Slovakia	28	10674
Slovakia	30	10764
Slovakia	31	10857
Slovakia	32	10889
Slovakia	33	10922
Slovakia	34	10990
Slovakia	35	11060
Slovakia	37	11097
Slovakia	38	11287
Slovakia	39	11365
Slovakia	40	11445
Slovakia	42	11571
Slovakia	43	11614
Slovakia	46	11660
Slovakia	48	11804
Slovakia	49	11853
Slovakia	50	11903
Slovakia	53	12062
Slovakia	55	12117
Slovakia	56	12173
Slovakia	57	12230
Slovakia	61	12291
Slovakia	67	12425
Slovakia	68	12561
Slovakia	72	12633
Slovakia	74	12707
Slovakia	75	12782
Slovakia	76	12858
Slovakia	77	12935
Slovakia	86	13107
Slovakia	88	13283
Slovakia	89	13372
Slovakia	91	13463
Slovakia	92	13555
Slovakia	99	13654
Slovakia	100	13754
Slovakia	110	13864
Slovakia	112	13976
Slovakia	114	14090
Slovakia	115	14205
Slovakia	116	14321
Slovakia	126	14573
Slovakia	167	14740
Slovakia	168	14908
Slovakia	171	15079
Slovakia	174	15253
Slovakia	214	15467
Slovakia	221	15688
Slovakia	226	15914
Slovakia	254	16168
Slovakia	288	16456
Slovakia	298	16754
Slovakia	330	17084
Slovakia	492	17576
Slovakia	506	18082
Slovakia	573	18655
Slovakia	851	19506
Slovakia	935	20441
Slovakia	1199	21640
Slovakia	6101	27741
Iraq	1	1
Qatar	1	1
Belgium	1	2
Mexico	1	14
Mexico	2	22
Mexico	3	25
Mexico	7	32
Mexico	122	154
United Kingdom	1	6064
United Kingdom	2	10998
United Kingdom	3	13815
United Kingdom	4	15915
United Kingdom	5	17660
United Kingdom	6	18884
United Kingdom	7	20333
United Kingdom	8	21477
United Kingdom	9	22413
United Kingdom	10	23343
United Kingdom	11	24124
United Kingdom	12	24880
United Kingdom	13	25595
United Kingdom	14	26267
United Kingdom	15	26597
United Kingdom	16	27109
United Kingdom	17	27789
United Kingdom	18	28203
United Kingdom	19	28564
United Kingdom	20	29084
United Kingdom	21	29504
United Kingdom	22	29922
United Kingdom	23	30198
United Kingdom	24	30510
United Kingdom	25	30810
United Kingdom	26	31044
United Kingdom	27	31260
United Kingdom	28	31764
United Kingdom	29	32170
United Kingdom	30	32500
United Kingdom	31	32810
United Kingdom	32	32906
United Kingdom	33	33170
United Kingdom	34	33306
United Kingdom	35	33446
United Kingdom	36	33554
United Kingdom	37	33739
