cluster_id	sample_count
Lebanon	599
Lebanon	19
Lebanon	14
Lebanon	13
Lebanon	11
Lebanon	10
Lebanon	6
Lebanon	6
Lebanon	6
Lebanon	4
Lebanon	4
Lebanon	4
Lebanon	3
Lebanon	3
Lebanon	3
Lebanon	3
Lebanon	3
Lebanon	3
Lebanon	2
Lebanon	2
Lebanon	2
Lebanon	2
Lebanon	2
Lebanon	2
Lebanon	2
Lebanon	2
Lebanon	2
Lebanon	2
Lebanon	2
Lebanon	2
Lebanon	2
Lebanon	2
Lebanon	2
Lebanon	2
Lebanon	2
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Lebanon	1
Zimbabwe	29
Zimbabwe	10
Zimbabwe	6
Zimbabwe	6
Zimbabwe	5
Zimbabwe	5
Zimbabwe	4
Zimbabwe	3
Zimbabwe	2
Zimbabwe	2
Zimbabwe	2
Zimbabwe	2
Zimbabwe	1
Zimbabwe	1
Zimbabwe	1
Zimbabwe	1
Zimbabwe	1
Australia	10998
Australia	261
Australia	234
Australia	169
Australia	121
Australia	93
Australia	67
Australia	23
Australia	21
Australia	15
Australia	14
Australia	14
Australia	13
Australia	10
Australia	10
Australia	8
Australia	8
Australia	7
Australia	6
Australia	6
Australia	5
Australia	5
Australia	5
Australia	5
Australia	5
Australia	5
Australia	5
Australia	4
Australia	4
Australia	4
Australia	4
Australia	4
Australia	4
Australia	4
Australia	4
Australia	3
Australia	3
Australia	3
Australia	3
Australia	3
Australia	3
Australia	3
Australia	3
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Canada	1
Canada	1
Canada	1
Canada	1
Belgium	1
USA	222596
USA	151549
USA	96696
USA	61377
USA	50208
USA	36938
USA	28317
USA	21010
USA	20728
USA	15480
USA	14235
USA	11882
USA	10944
USA	10175
